AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,label,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0,0,1,1,FALSE,Cre13.g564000,Cre13.g564000,3,0,0,FALSE,0,Cre13.g564000,0
1,0,1,0,1,1,0,FALSE,g11512,g11512,6,1,0,FALSE,0,g11512,0
0,0,0,0,0,1,1,FALSE,Cre02.g109900,Cre02.g109900,7,0,0,FALSE,0,Cre02.g109900,0
1,0,1,0,1,1,0,FALSE,"Cre07.g328400,FAP207","Cre07.g328400,FAP207",4,1,0,FALSE,0,"Cre07.g328400,FAP207",0
0,0,0,0,0,1,1,FALSE,g15190,g15190,11,0,0,FALSE,0,g15190,0
1,0,1,0,1,1,0,FALSE,g10059,g10059,14,1,0,FALSE,0,g10059,0
0,0,0,0,0,1,1,FALSE,Cre08.g384100,Cre08.g384100,2,0,0,FALSE,0,Cre08.g384100,0
0,0,0,0,0,1,1,FALSE,Cre07.g342850,Cre07.g342850,2,0,0,FALSE,0,Cre07.g342850,0
1,1.15E-04,1,0,1,2,1,FALSE,"g5107,g5108","g5107,g5108",5.5,1,0,FALSE,0,"g5107,g5108",10965
0,0,0,0,0,1,1,FALSE,Cre03.g154800,Cre03.g154800,38,0,0,FALSE,0,Cre03.g154800,0
0,0,0,0,0,1,1,FALSE,g6215,g6215,3,0,0,FALSE,0,g6215,0
1,0,1,0,1,1,0,FALSE,g3053,g3053,2,1,0,FALSE,0,g3053,0
0,0,0,0,0,1,1,FALSE,Cre09.g410050,Cre09.g410050,32,0,0,FALSE,0,Cre09.g410050,0
0,0,0,0,0,2,2,FALSE,Cre17.g738800,Cre17.g738800,8.5,0,0,FALSE,0,Cre17.g738800,0
0,0,0,0.333333333,0,4,4,FALSE,g9125,g9125,17.25,0,0,FALSE,0,g9125,0
1,0,1,0,1,1,0,FALSE,g6297,g6297,11,1,0,FALSE,0,g6297,0
